,,,,,,,,,2015 Base Runs,,,2016 Base Runs,,,,,,,Starting Pitcher,,,,Win Percentage,,,,Win Expectancy Calc,,,,,,,,,,,,,,
,,,,,,,,,G,BR Scored,BR Allowed,G,BR Scored,BRS/G,BR Allowed,BRA/G,SIERA Avg.,Team,IP,SIERA,SIERA Adj.,Pitcher,BR Scored,BR Allowed,BR SIERA,Win%,Bottom,Top,AVG,Win Exp.,Lines,Implied Odds,Edge,Units,TeamRNK,,Net RNK,,,,
6:10PM,,914 Cleveland Indians C Kluber - R,  -1_ +130 , -165 Listed , u7_ -110 ,,,,162,690.33,622.63,48,215.04,4.48,196.32,4.09,3.857374477,Indians,66.2,3.3,-0.557374477,Corey Kluber,715.131,650.595,-80.26192469,0.602053499,0.59550211,0.587279575,0.591390842,0.591390842,-165,0.622641509,-3.125066725, ,,15,3,H,,,
Wed 6/1,,967 Detroit Tigers M Fulmer - R,  +1_ -210, +104 Listed , o8 +100 ,,,,162,730.86,795.42,50,226,4.52,227.5,4.55,4.30690309,Tigers,34,3.5,-0.80690309,Michael Fulmer,731.826,754.596,-116.1940449,0.562159678,0.500068838,0.494132714,0.497100776,0.497100776,104,0.490196078,0.690469717,1 Unit Tigers,,21,1,A,WIN,X,
7:05PM,,968 Los Angeles Angels M Shoemaker - R,  -1_ +175 , -114 Listed , u8 -120 ,,,,162,641.34,676.02,51,192.27,3.77,231.03,4.53,4.392313181,Angels,45.1,3.87,-0.522313181,Matt Shoemaker,619.92,716.508,-75.21309801,0.484496189,0.499931162,0.505867286,0.502899224,0.502899224,-114,0.53271028,-2.981105598, ,,22,-1,H,,,
Wed 6/1,,971 New York Yankees M Tanaka - R,  +1_ -210, +104 Listed , o8 -105 ,,,,162,766.56,696.12,50,187,3.74,214.5,4.29,3.664610229,Yankees,65.1,3.4,-0.264610229,Masahiro Tanaka,654.084,695.322,-38.10387302,0.49781308,0.396075312,0.405545636,0.400810474,0.400810474,104,0.490196078,-8.938560448, ,,23,-16,A,,,
7:05PM,,972 Toronto Blue Jays A Sanchez - R,  -1_ +175 , -114 Listed , u8 -115 ,,,,162,841.86,643.62,53,231.08,4.36,209.88,3.96,4.16469327,BlueJays,65.2,3.57,-0.59469327,Aaron Sanchez,746.982,642.15,-85.63583085,0.631500104,0.603924688,0.594454364,0.599189526,0.599189526,-114,0.53271028,6.647924567,3 Units BlueJays,,7,16,H,WIN,X,
Thu 6/2,,905 Milwaukee Brewers C Anderson - R,, +102 Listed ,, o3_ -130  , u3_ +110  ,,162,647.16,742.92,52,221.52,4.26,282.88,5.44,4.526334183,Brewers,54,4.43,-0.096334183,Chase Anderson,677.232,839.772,-13.87212232,0.410189716,0.503235848,0.496830537,0.500033193,0.500033193,102,0.495049505,0.498368785,1 Unit Brewers,X,25,2,A,WIN,X,
7:05PM,,906 Philadelphia Phillies J Eickhoff - R,, -112 Listed ,, o4 -105  , u4 -115  ,,162,607.08,824.76,52,167.96,3.23,216.84,4.17,3.512752828,Phillies,59.2,3.86,0.347247172,Jerad Eickhoff,548.406,720.306,50.00359273,0.34937418,0.496764152,0.503169463,0.499966807,0.499966807,-112,0.528301887,-2.833507959, ,,27,-2,H,,,
Thu 6/2,,911 Boston Red Sox R Porcello - R,, -136 Listed ,, o5 -115  , u5 -105  ,,162,691.8,752.58,52,307.84,5.92,218.92,4.21,4.19629097,RedSox,63.2,3.59,-0.60629097,Rick Porcello,878.868,703.188,-87.30589967,0.657170413,0.539907623,0.528069456,0.53398854,0.53398854,-136,0.576271186,-4.228264693, ,,4,7,A,,,
7:05PM,,912 Baltimore Orioles U Jimenez - R,, +126 Listed ,, o4 -115  , u4 -105  ,,162,688.14,716.7,50,230.5,4.61,215.5,4.31,4.415781537,Orioles,52.1,4.73,0.314218463,Ubaldo Jimenez,729.216,703.764,45.24745862,0.487748637,0.460092377,0.471930544,0.46601146,0.46601146,126,0.442477876,2.353358438,1 Unit Orioles,X,11,-7,H,WIN,,
Fri 6/3,,955 New York Mets N Syndergaard - R,  -1_ -110, -188 Listed , o7 -125 ,,,,162,685.68,604.26,52,221,4.25,185.64,3.57,3.600484807,Mets,62.2,2.17,-1.430484807,Noah Syndergaard,687.654,586.116,-205.9898122,0.74739976,0.613770606,0.590989776,0.602380191,0.602380191,-188,0.652777778,-5.039758667, ,,9,1,A,,,
